"","school","mathscore"
"1",1,52.11
"2",1,57.65
"3",1,66.44
"4",1,44.68
"5",1,40.57
"6",1,35.04
"7",1,50.71
"8",1,66.17
"9",1,39.43
"10",1,46.17
"11",1,58.76
"12",1,47.97
"13",1,39.18
"14",1,64.63
"15",1,69.38
"16",1,32.38
"17",1,29.98
"18",1,59.32
"19",1,43.04
"20",1,57.83
"21",1,46.07
"22",1,47.74
"23",1,48.66
"24",1,40.8
"25",1,66.32
"26",1,53.7
"27",1,52.42
"28",1,71.38
"29",1,59.66
"30",1,47.52
"31",1,39.51
"32",2,57.57
"33",2,42.4
"34",2,41.41
"35",2,55.22
"36",2,43.9
"37",2,53.04
"38",2,49
"39",2,62.45
"40",2,53.78
"41",2,49.08
"42",2,40.25
"43",2,43.08
"44",2,52.43
"45",2,21.73
"46",2,53.68
"47",2,41.45
"48",2,45.47
"49",2,34.06
"50",2,33.45
"51",2,60.78
"52",2,35.92
"53",2,52.4
"54",3,40.69
"55",3,43.22
"56",3,45.57
"57",3,46.73
"58",3,49.2
"59",3,50.27
"60",3,42.79
"61",3,61.03
"62",3,53.03
"63",3,37.98
"64",3,50.42
"65",3,54.19
"66",3,55.95
"67",3,40.53
"68",3,55.59
"69",3,69.12
"70",3,54.18
"71",3,41.88
"72",3,47.14
"73",3,42.86
"74",3,49.12
"75",3,52.04
"76",3,38.34
"77",4,55
"78",4,54.23
"79",4,53.4
"80",4,34.34
"81",4,48.07
"82",4,53.65
"83",4,46.6
"84",4,60.93
"85",4,56.3
"86",4,31.21
"87",4,31.56
"88",4,31.53
"89",4,59.25
"90",4,31.31
"91",4,51.54
"92",4,57.84
"93",4,42.3
"94",4,56.57
"95",4,43.38
"96",5,33.3
"97",5,33.24
"98",5,39.66
"99",5,49.48
"100",5,24.88
"101",5,32.72
"102",5,51.1
"103",5,48.38
"104",5,41.14
"105",5,27.89
"106",5,35.12
"107",5,28.26
"108",5,47.54
"109",5,24.28
"110",5,46.25
"111",5,37.99
"112",5,39.1
"113",5,27.82
"114",5,31.98
"115",5,29.64
"116",5,38.47
"117",6,39.92
"118",6,38.33
"119",6,37.38
"120",6,34.24
"121",6,39.49
"122",6,40.33
"123",6,36.46
"124",6,38.03
"125",6,47.06
"126",6,40.75
"127",6,38.4
"128",6,52.93
"129",6,26.14
"130",6,32.95
"131",6,36.48
"132",6,44.63
"133",7,42.71
"134",7,40.72
"135",7,36.7
"136",7,48.91
"137",7,36.11
"138",7,36.46
"139",7,32.08
"140",7,47.58
"141",7,34.62
"142",7,39.79
"143",7,48.43
"144",7,37
"145",7,33.62
"146",7,49.87
"147",7,35.84
"148",7,46.25
"149",8,38.48
"150",8,43.39
"151",8,61.3
"152",8,58.4
"153",8,41.75
"154",8,41.86
"155",8,55.91
"156",8,42.07
"157",8,36.3
"158",8,42.6
"159",8,42.65
"160",8,44.02
"161",8,47.64
"162",8,66.83
"163",8,47.41
"164",8,61.74
"165",8,54.13
"166",8,43.8
"167",8,41.02
"168",8,80
"169",8,47.67
"170",8,35.73
"171",9,53.08
"172",9,56.46
"173",9,44.66
"174",9,51.6
"175",9,46.42
"176",9,41.11
"177",9,39.67
"178",9,48.66
"179",9,48.99
"180",9,52.12
"181",9,43.04
"182",9,42.9
"183",9,64.95
"184",9,36.89
"185",9,53.68
"186",9,55.06
"187",9,46.62
"188",9,43.12
"189",9,44.06
"190",9,57.07
"191",9,39.24
"192",9,64.21
"193",9,48.96
"194",9,57.18
"195",10,43.19
"196",10,39.72
"197",10,47.76
"198",10,33.5
"199",10,30.87
"200",10,34.06
"201",10,43.95
"202",10,37.08
"203",10,49.7
"204",10,49.83
"205",10,35.36
"206",10,53.48
"207",10,34.91
"208",10,43.36
"209",10,49.23
"210",10,27.9
"211",10,56.5
"212",10,28.83
"213",11,60.86
"214",11,60.7
"215",11,67.69
"216",11,61.74
"217",11,46.47
"218",11,56.55
"219",11,65.89
"220",11,47.89
"221",11,63.34
"222",11,44.12
"223",11,62.18
"224",12,45.18
"225",12,29.99
"226",12,63.71
"227",12,59.97
"228",12,65.09
"229",12,64.5
"230",12,53.72
"231",12,62.08
"232",12,46.41
"233",12,62.56
"234",12,27.04
"235",12,61.06
"236",12,39.03
"237",12,41.68
"238",12,50.54
"239",12,41.53
"240",12,35.41
"241",12,64.69
"242",12,38.45
"243",12,32.06
"244",12,41.42
"245",12,79.01
"246",12,47.2
"247",12,41.93
"248",12,68.93
"249",12,67.64
"250",12,53.5
"251",12,34.03
"252",12,45.83
"253",12,51.62
"254",13,49.08
"255",13,63.32
"256",13,45.7
"257",13,50.52
"258",13,54.41
"259",13,46.11
"260",13,46.81
"261",13,55.59
"262",13,41.36
"263",13,63.6
"264",13,51.93
"265",13,35.46
"266",13,59.07
"267",13,53.82
"268",13,37.53
"269",13,48.66
"270",13,57.47
"271",13,33.41
"272",13,45.55
"273",14,53.66
"274",14,63.85
"275",14,50.86
"276",14,65.24
"277",14,74.73
"278",14,56.98
"279",14,47.92
"280",14,52.15
"281",14,51.38
