"","loc1","loc2","loc3","loc4","loc5","loc6","loc7","loc8","loc9","loc10","loc11","loc12","loc13","loc14","loc15","loc16","loc17","loc18","loc19","loc20"
"1",1,0,0,0,0,0,1,1,1,3,3,3,7,8,8,11,2,3,2,1
"2",0,1,0,1,0,3,1,2,4,0,3,5,3,4,7,6,4,2,2,2
"3",1,0,0,0,1,1,0,0,1,2,2,3,5,5,10,10,8,9,3,0
"4",1,2,0,0,0,2,0,0,2,1,4,2,8,5,4,8,9,7,2,1
"5",1,1,0,2,3,2,1,2,2,5,6,6,6,7,6,9,8,8,2,3
"6",0,0,0,0,0,2,3,0,0,1,2,3,7,10,12,10,9,9,4,0
"7",0,0,2,0,0,0,1,0,0,2,2,6,12,5,9,5,8,6,6,1
"8",1,1,0,1,0,0,1,2,0,4,4,8,7,9,11,12,9,9,3,2
"9",3,0,2,2,1,0,0,0,1,4,5,7,9,9,6,9,13,6,2,2
"10",0,0,1,1,0,0,0,1,2,1,3,5,11,9,7,13,5,2,1,0
"11",0,0,1,0,1,1,0,0,3,3,3,4,10,9,9,13,8,4,2,0
"12",0,0,0,0,2,0,1,2,4,3,3,3,8,6,7,8,13,3,1,0
"13",0,0,1,0,1,2,1,2,2,3,8,4,9,13,9,11,16,2,1,0
"14",0,0,0,1,0,2,1,1,1,3,0,2,4,4,6,15,13,8,2,1
"15",0,2,0,1,0,0,1,2,3,8,2,2,9,9,11,10,4,2,2,0
"16",0,0,1,0,0,0,1,0,1,1,5,3,7,10,7,5,6,3,0,0
"17",0,1,1,4,1,0,0,0,3,4,4,7,6,11,8,12,17,10,1,0
"18",1,2,1,0,0,0,1,1,1,1,2,1,5,4,0,17,11,3,7,2
"19",0,0,1,1,1,0,1,1,1,0,3,2,4,8,4,9,1,7,3,0
"20",0,0,0,0,1,1,0,1,0,1,1,1,1,5,4,7,4,6,4,0
"21",1,1,0,0,0,0,0,1,1,2,2,2,2,7,3,4,9,2,2,0
